"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 11-Feb-2020","30 D % CHNG 
 11-Jan-2021"
NIFTY 50,"15,371.45","15,431.75","15,242.20","15,314.70","15,313.45",-1.25,-0.01,648545320,"3,65,49,69,20,467.76","15,431.75","7,511.10",26.43,6.1
POWERGRID,213.4,229.9,213.3,212.45,225.75,13.3,6.26,45113050,"10,14,50,22,684.00",229.9,122.15,15.4,4.66
ONGC,99.25,104.85,99.25,98.45,103.35,4.9,4.98,76236798,"7,86,83,99,921.58",107.9,50,-4.7,-2.91
TATASTEEL,672.15,708.6,668.3,672.15,697.65,25.5,3.79,33661838,"23,53,43,37,419.32",731.5,250.85,54.68,-4.78
HINDALCO,293.55,307.35,293,291.4,302,10.6,3.64,27519511,"8,33,53,84,686.79",307.35,84.9,50.21,15.02
NTPC,95.85,99.15,95.5,95.2,97.85,2.65,2.78,32865663,"3,21,03,17,961.84",113.75,73.2,-15.53,-5.23
KOTAKBANK,"2,000.00","2,049.00","1,998.00","1,985.95","2,023.90",37.95,1.91,5480183,"11,11,75,92,450.27","2,049.00","1,001.00",18.14,6.55
IOC,94.15,96.5,94,94.15,95.8,1.65,1.75,24869144,"2,37,45,05,869.12",115.3,71.15,-18.2,-7.06
ADANIPORTS,629.8,643.5,628.05,627.75,637.4,9.65,1.54,15120148,"9,63,80,35,939.64",643.5,203,71.12,18.9
COALINDIA,132.3,135.4,132.3,132.25,134,1.75,1.32,11735144,"1,57,33,30,756.08",180.25,109.55,-24.32,-7.68
RELIANCE,"2,039.75","2,079.40","2,035.00","2,032.60","2,058.50",25.9,1.27,9886093,"20,37,75,11,474.39","2,369.35",866.98,36.64,4.91
MARUTI,"7,639.00","7,799.00","7,625.25","7,596.65","7,690.00",93.35,1.23,1321126,"10,19,61,33,397.76","8,329.00","4,001.10",9.88,-5.33
